date,run_time
10/6/2018 16:22,332.594452
10/7/2018 16:22,327.060913
10/9/2018 10:54,325.981537
10/9/2018 17:52,324.885956
10/10/2018 16:22,324.896027
10/11/2018 16:22,322.981079
10/12/2018 16:22,327.108368
10/13/2018 18:22,330.967468
10/14/2018 16:22,326.095306
10/15/2018 16:22,323.888794
10/16/2018 16:22,323.619568
10/17/2018 16:22,333.113068
10/18/2018 16:22,325.309296
10/19/2018 16:22,328.74234
10/20/2018 16:22,328.354736
10/21/2018 16:22,324.096313
10/22/2018 16:22,323.161346
10/23/2018 16:22,324.627686
10/24/2018 16:22,325.769226
10/25/2018 16:22,324.804932
10/26/2018 16:22,322.899658
10/27/2018 16:22,324.867401
10/28/2018 16:22,323.013153
10/29/2018 16:22,321.905853
10/30/2018 17:22,327.9021
10/31/2018 16:22,323.137756
11/1/2018 16:22,331.58728
11/2/2018 16:22,323.774353
11/3/2018 16:22,323.163513
11/4/2018 17:22,324.870209
11/5/2018 17:22,329.540649
11/6/2018 19:52,323.509521
11/7/2018 17:22,323.749115
11/8/2018 17:22,323.28775
11/9/2018 17:22,325.016541
11/10/2018 17:22,324.230072
11/12/2018 18:55,324.483856
11/12/2018 19:22,326.649567
11/13/2018 17:22,325.433929
11/15/2018 17:22,325.42807
11/16/2018 17:22,322.677856
11/17/2018 17:22,324.022827
11/18/2018 17:22,325.360077
11/19/2018 17:22,330.188812
11/21/2018 17:22,323.013611
11/23/2018 17:22,329.671265
11/24/2018 17:22,323.316528
11/25/2018 17:22,325.202515
11/26/2018 17:22,323.369293
11/27/2018 17:22,323.77652
11/28/2018 17:22,325.169373
11/29/2018 17:22,324.875671
11/30/2018 17:22,322.796661

